Data,Precipitacao,TempMaxima,TempMinima,Temp Comp Media
28/03/2012,0,21.8,11.2,15.92
29/03/2012,0,26.1,9.8,17.64
30/03/2012,0,27.9,13.1,19.54
31/03/2012,0,29.4,16.4,21.6
01/04/2012,0,31.1,17.2,23.02
02/04/2012,0,32.6,17.2,23.6
03/04/2012,0,30.9,16.4,22.48
04/04/2012,0,34.4,18.8,24.92
05/04/2012,0,25.5,18.2,21.02
06/04/2012,10.8,25.5,17.7,19.84
07/04/2012,0,27.6,13.4,19.4
08/04/2012,0,31,14.1,21.26
09/04/2012,0,28,18.6,22.26
10/04/2012,0,27.5,20.9,23.64
11/04/2012,0.1,29.5,22.8,24.54
12/04/2012,0,26.7,21.1,22.36
13/04/2012,0.1,27.9,18.9,22.1
14/04/2012,26.6,23.5,17.9,19.5
15/04/2012,14.7,26.6,17.4,20.28
16/04/2012,0,26.2,15.8,20
17/04/2012,0,29.6,16.8,22.12
18/04/2012,0.1,30.5,16.9,22.34
19/04/2012,0,24.5,18.4,21.06
20/04/2012,0,30.2,18.6,22.86
21/04/2012,0,27.9,16.4,20.24
22/04/2012,0.4,22.2,13.2,16.16
23/04/2012,0,23,10.4,15.92
24/04/2012,0,20.9,11.2,14.86
25/04/2012,0,21.8,8.4,15.02
26/04/2012,0,20.8,15.2,17.32
27/04/2012,4.4,20.9,13.1,14.86
28/04/2012,0,18.8,9.2,13.8
29/04/2012,18.1,18.5,13.9,15.14
30/04/2012,1.8,19.3,12.4,13.98
01/05/2012,0,18,9.1,12.92
02/05/2012,0.3,24,10.6,16.36
03/05/2012,0,27,11.4,18.32
04/05/2012,0.1,29.1,16.8,21
05/05/2012,0,28.2,16,20.32
06/05/2012,0,26.5,18.3,20.64
07/05/2012,0,27.6,16.4,20.52
08/05/2012,0.1,29.3,16.2,21.16
09/05/2012,0,29.2,15.6,20.68
10/05/2012,0,28.8,16.4,21.8
11/05/2012,0,24,17,19.1
12/05/2012,20.4,20.7,13.9,15.58
13/05/2012,0,19.5,8.7,12.34
14/05/2012,0,21.5,7.3,13.18
15/05/2012,0,23.1,10,15.64
16/05/2012,0,24.6,13.6,17.64
17/05/2012,0,24.2,16.1,18.64
18/05/2012,0,27,13.3,18.26
19/05/2012,0,24.2,13.3,17.72
20/05/2012,0,27.6,14,18.92
21/05/2012,0,27.4,13.4,18.84
22/05/2012,0,27.6,13.4,19.24
23/05/2012,0,26.9,15.3,19.92
24/05/2012,0,23.9,17.2,19.42
25/05/2012,0,24.2,17.8,19.8
26/05/2012,0.1,24.1,17.2,19.72
27/05/2012,0.1,26.7,16.8,19.84
28/05/2012,0,27.9,16.9,21.8
29/05/2012,0,30.3,19.6,24.58
30/05/2012,14.4,25.6,15.8,18.28
01/06/2012,0,20.5,9,12.86
02/06/2012,0,24.8,8.1,15.54
03/06/2012,9.3,19.7,14.2,15.5
04/06/2012,1.5,17.4,10.8,12.32
05/06/2012,0.2,16.4,6.7,9.78
06/06/2012,0,16,4.4,10.64
07/06/2012,0,14,2.2,6.12
08/06/2012,0,13.6,1.3,5.98
09/06/2012,0,17.1,0.9,8.16
10/06/2012,0,17.8,4.7,11.22
11/06/2012,0.4,20.4,12.4,14.72
12/06/2012,0,25.6,11.2,17.32
13/06/2012,0,30.4,13,20.16
14/06/2012,0,30.6,16,22.36
15/06/2012,0,26.2,17.3,20.28
16/06/2012,0,19.8,12.3,14.94
17/06/2012,0.6,18.2,11.8,14.88
18/06/2012,10.7,19.1,13.8,16.32
19/06/2012,2.9,16.6,11.6,13.16
20/06/2012,0.1,14.3,9.7,11.04
21/06/2012,0,22,9.2,14.46
22/06/2012,0.1,16.8,13,14.2
23/06/2012,1.3,19.8,8.7,12.62
24/06/2012,0.1,24,8.7,14.62
25/06/2012,0,18.1,12.7,14.66
26/06/2012,0,24.1,11.6,16.18
27/06/2012,0,27.5,13.5,19.24
28/06/2012,0,28.3,13.4,19.46
29/06/2012,0,30.5,16.4,22.54
30/06/2012,4.7,27.9,17.8,21.52
01/07/2012,0,30.3,18.6,23.3
03/07/2012,0,26.1,15.2,18.26
04/07/2012,0,29.6,14.3,21.62
05/07/2012,0,24.9,12.5,15.94
06/07/2012,62.8,17.4,10.3,12.54
07/07/2012,39.3,11.9,8.2,9.54
08/07/2012,0.1,15.3,2.8,7.56
09/07/2012,0,20.6,4.6,11.56
10/07/2012,0.1,18.8,12.8,14.66
11/07/2012,12.7,15.6,7.5,9.46
12/07/2012,0,14.5,5.8,9.78
13/07/2012,0,18.4,5.5,11.12
14/07/2012,0,18.1,6.9,10.68
15/07/2012,0,13.6,4.5,8.54
16/07/2012,0.2,16,6.9,11.08
17/07/2012,0,18.3,10,13.14
18/07/2012,0,17,9.6,12.1
19/07/2012,0,19.1,6.5,11.38
20/07/2012,0.1,21,6.4,12.4
21/07/2012,0,24.2,8.2,15.2
22/07/2012,0,19.7,10.6,13.7
23/07/2012,0,25,10.9,16.58
24/07/2012,1.4,18,12.6,14.32
25/07/2012,4.7,16.4,6.5,9.36
26/07/2012,0,17.4,5.7,10.52
27/07/2012,0,17.6,7.9,10.76
28/07/2012,0,20,5.6,12.62
29/07/2012,23.5,16.9,12.1,13.66
30/07/2012,0,17.6,6.1,11.62
31/07/2012,0,20.7,13.4,15.98
01/08/2012,31.9,27.7,15.2,20.1
02/08/2012,0.1,29,14.8,20.56
03/08/2012,0,30.6,14.9,21.88
04/08/2012,0,25.3,16.7,18.94
05/08/2012,1,17.8,12,13.4
06/08/2012,0.2,20.4,7.3,12.74
07/08/2012,0,23.8,10.4,15.84
08/08/2012,0,28.1,12.2,19.14
09/08/2012,0,25.1,17.6,19.94
10/08/2012,0,26.5,12.6,18.44
11/08/2012,0,31.1,15.1,21.12
12/08/2012,0,30.4,17.2,20.92
13/08/2012,6.7,19.3,14.7,15.96
14/08/2012,1.1,28.4,13.9,19.16
15/08/2012,0,31.7,15.9,22.88
16/08/2012,0,29.8,16.8,22.28
17/08/2012,0,31.2,18,23.58
18/08/2012,0,30.2,17.6,22.74
19/08/2012,0,27.6,18.7,22.36
20/08/2012,0,31,17.5,22.92
21/08/2012,0.3,27.2,19.6,21.88
22/08/2012,0,33.9,17.6,24.36
23/08/2012,0,34,18.6,23.78
24/08/2012,0,32.1,16.8,23.1
25/08/2012,0.6,22.9,11.8,15.02
26/08/2012,16,15.2,8.8,10.9
27/08/2012,23.8,16.9,10.3,13.24
28/08/2012,6.6,16.6,12.1,14.08
29/08/2012,5.3,18.6,12.6,14.88
30/08/2012,0,25.8,11.8,17.56
31/08/2012,0,25.7,12.3,18.4
01/09/2012,0,26.5,15.4,19.14
02/09/2012,0,29.2,14.8,20.28
03/09/2012,0,21.7,14.8,16.66
04/09/2012,0,25.3,12.8,18.04
05/09/2012,0,26.7,14.6,19.66
06/09/2012,0,25.3,16.7,19.68
07/09/2012,0,33.2,16.6,23.66
08/09/2012,0.1,26.2,19.2,21.36
09/09/2012,0.2,20.3,16.7,17.62
10/09/2012,42.1,16.8,14.3,15.54
11/09/2012,14.3,22.1,15.6,18.42
12/09/2012,0,21.9,15.8,18.1
13/09/2012,0.7,24.5,15,18.1
14/09/2012,0,29.8,14.7,21.06
15/09/2012,0,27.5,17.5,21.88
16/09/2012,24.1,21.4,18.4,19.88
17/09/2012,28,28.1,17.2,21
18/09/2012,85.4,20.2,18.7,19.38
19/09/2012,77.1,24.5,14.7,17.66
20/09/2012,0,20.6,11.8,15.12
21/09/2012,0,22,11.2,15.7
22/09/2012,0,22.1,8.8,15.62
23/09/2012,0,24.6,8.3,16.38
24/09/2012,0,28.3,13.3,20.78
25/09/2012,0.7,21.4,10.1,12.5
26/09/2012,0,16.1,7.7,11.4
27/09/2012,0.2,21.8,10,15
28/09/2012,0,22.4,11.6,16.96
29/09/2012,0,21.1,14.1,17.54
30/09/2012,0.8,29.6,14.5,21.86
01/10/2012,14.9,22.5,17.8,19.28
02/10/2012,3.8,22.1,14.7,18.8
03/10/2012,22.8,25.4,17.7,21.04
04/10/2012,0,24.6,18.8,20.6
05/10/2012,0,29.4,18.2,22.18
06/10/2012,0,34.5,18.9,24.68
07/10/2012,10.3,32.4,20.6,23.92
08/10/2012,12.6,28.5,20.1,23.1
09/10/2012,0,22.6,19.2,20.24
10/10/2012,10.1,21.5,15.7,17.7
11/10/2012,3.4,21.2,14.6,16.62
12/10/2012,0.8,23.5,15.4,18.18
13/10/2012,0,25.2,13.2,18.62
14/10/2012,0,27.2,14,20.26
15/10/2012,0,29.2,14.7,20.5
16/10/2012,0,29.9,17.9,24.12
17/10/2012,0,25.7,18.4,21.24
18/10/2012,0,25.1,14.7,18.46
19/10/2012,0,29,12.6,19.94
20/10/2012,0,32.1,16.3,23.94
22/10/2012,0,23.1,18.8,20.18
23/10/2012,26.8,27.7,17.5,20.88
24/10/2012,0.3,24.4,14.8,19.28
25/10/2012,0,27.6,14.6,20.74
26/10/2012,0,30.2,17.7,22.92
27/10/2012,0,31.9,20.1,25.28
28/10/2012,0,27.5,20.1,23.28
29/10/2012,0,29.6,20.8,23.48
30/10/2012,15.3,29.3,21.1,24.58
31/10/2012,0,25.8,18.6,20.94
01/11/2012,0,26.9,17,20.98
02/11/2012,0,28.5,14.8,20.76
03/11/2012,0,30.4,16.4,22.2
04/11/2012,0,30.5,18.3,22.56
05/11/2012,0,31.2,18.6,23.5
06/11/2012,0,33.2,15.8,23.94
07/11/2012,0,33.4,17,24.2
08/11/2012,0,33.2,20.2,25.74
09/11/2012,0,35.5,21.8,27.8
10/11/2012,0,34.4,22.3,27.22
11/11/2012,0,29,22.4,24.24
12/11/2012,4.9,23.8,16.2,18.56
13/11/2012,6.2,24.1,14.2,18.98
14/11/2012,0,25.3,15.2,20.04
15/11/2012,0.1,27.1,16.6,20.94
16/11/2012,0,29.3,16.8,22.36
17/11/2012,0,29,17.7,22.28
18/11/2012,0,32.7,17.2,23.68
19/11/2012,0,29.4,19.8,24.12
20/11/2012,1.5,30.8,20.3,24.36
21/11/2012,0,29.8,17.3,22.72
22/11/2012,0,35.4,18.1,26.32
23/11/2012,4,29.1,21.7,24.88
24/11/2012,9.3,26.9,19.4,21.14
25/11/2012,0,28.4,13.7,20.88
26/11/2012,0,31,15.4,22.54
27/11/2012,0,34,17.2,24.88
28/11/2012,0,33.6,19.3,25.6
29/11/2012,0,29.7,20.1,24.06
30/11/2012,0,33.1,22.3,27.54
01/12/2012,0,27.6,21.4,23.92
02/12/2012,8.9,32,19.4,24.82
03/12/2012,0,35.4,17.7,26.28
04/12/2012,0,33.9,21.3,26.82
05/12/2012,0,34.5,22.9,28.3
06/12/2012,0,38,24.3,30.16
07/12/2012,0,33.7,24.4,28.14
08/12/2012,15.3,31.2,20.4,24.66
09/12/2012,0,33.7,16.8,24.72
10/12/2012,0,38.3,17.4,28.06
11/12/2012,18.1,32.6,20.4,24.88
12/12/2012,0,28.4,19.6,23.64
13/12/2012,5.9,28.2,20,24.06
14/12/2012,0,29.7,19.9,23.78
15/12/2012,0,34.2,19,26.4
16/12/2012,0,37,20.7,27.3
17/12/2012,8.5,33.9,20.4,26.14
18/12/2012,0,33.6,20.1,25.58
19/12/2012,0,33.4,22.3,27.38
20/12/2012,0,39.1,23.5,28.28
21/12/2012,46.2,24.9,19.2,21.06
22/12/2012,17.1,28.7,16.8,22.84
23/12/2012,0,35.4,17.4,25.98
24/12/2012,0,38.9,22.1,30.82
25/12/2012,0,39.8,27.3,33.7
26/12/2012,0.1,34.3,19.8,23.54
27/12/2012,14.2,21,15.6,17.84
28/12/2012,58.5,23.4,15.4,19.22
29/12/2012,3.2,28.9,17.9,22.82
30/12/2012,0,35.6,18.8,26.78
31/12/2012,0,36.7,22,27.86
01/01/2013,23.8,25.5,19.2,21.58
02/01/2013,0.7,27.5,15.6,20.08
03/01/2013,0,30,14.6,22.16
03/01/2013,,,,
04/01/2013,0,33.6,17.4,24.84
04/01/2013,,,,
05/01/2013,0,31.8,19.6,25.16
05/01/2013,,,,
06/01/2013,7.4,31.1,20.1,26.14
06/01/2013,,,,
07/01/2013,0,32.2,22.3,25.98
07/01/2013,,,,
08/01/2013,67.9,30.6,21.2,24.32
08/01/2013,,,,
09/01/2013,0,31.5,21,24.92
09/01/2013,,,,
10/01/2013,0,31,19.3,23.6
10/01/2013,,,,
11/01/2013,0,29.1,16.5,22.06
11/01/2013,,,,
12/01/2013,0,30.1,16.8,22.42
12/01/2013,,,,
13/01/2013,0,31.4,17.3,23.66
13/01/2013,,,,
14/01/2013,0,31.5,19.8,24.88
14/01/2013,,,,
15/01/2013,0,30.2,20.6,24.8
15/01/2013,,,,
16/01/2013,0,32.6,20.6,25.64
16/01/2013,,,,
17/01/2013,0,34.2,20.5,26.2
17/01/2013,,,,
18/01/2013,0.1,30.1,21.9,24.8
18/01/2013,,,,
19/01/2013,1.3,29.5,19,23.12
19/01/2013,,,,
20/01/2013,1.3,28.7,20,23.1
20/01/2013,,,,
21/01/2013,0,30,18.2,23.48
21/01/2013,,,,
22/01/2013,0,31.9,19.1,24.44
22/01/2013,,,,
23/01/2013,0,33.7,19.3,25.86
23/01/2013,,,,
24/01/2013,0,35.6,21.9,25.94
24/01/2013,,,,
25/01/2013,3.6,32.2,21.5,24.36
25/01/2013,,,,
26/01/2013,0,27.2,16.3,20.34
26/01/2013,,,,
27/01/2013,0,29.5,14.4,21.6
27/01/2013,,,,
28/01/2013,0,33,17.9,24.58
28/01/2013,,,,
29/01/2013,0,34.8,19,25.82
29/01/2013,,,,
30/01/2013,0,36.2,19.7,26.44
30/01/2013,,,,
31/01/2013,0,37.7,20.3,27.94
31/01/2013,,,,
01/02/2013,0,38.2,21.8,29.24
01/02/2013,,,,
02/02/2013,0,30.8,22.2,25.92
02/02/2013,,,,
03/02/2013,5,27.5,19.6,22.32
03/02/2013,,,,
04/02/2013,4.2,27.6,17,21.8
04/02/2013,,,,
05/02/2013,0,27.7,17.2,22.42
05/02/2013,,,,
06/02/2013,0,29.6,19.9,23.46
06/02/2013,,,,
07/02/2013,0,29.5,20.8,23.98
07/02/2013,,,,
08/02/2013,0,28.5,19.6,23.66
08/02/2013,,,,
09/02/2013,0.6,28.9,21.5,24.22
09/02/2013,,,,
10/02/2013,0.5,32,22.2,24.84
10/02/2013,,,,
11/02/2013,0.5,32,20.8,25.3
11/02/2013,,,,
12/02/2013,1.8,31.4,22.8,26.3
12/02/2013,,,,
13/02/2013,0,32.9,23.6,26.98
13/02/2013,,,,
14/02/2013,3.8,33,22.9,26
14/02/2013,,,,
15/02/2013,22.1,31.4,22.9,25.8
15/02/2013,,,,
16/02/2013,0.5,31.9,22.4,26.02
16/02/2013,,,,
17/02/2013,0,33,22.5,27.26
17/02/2013,,,,
18/02/2013,0,31.6,23.2,26.02
18/02/2013,,,,
19/02/2013,0,28.4,22.6,24.76
19/02/2013,,,,
20/02/2013,0,31.4,23.9,26.14
20/02/2013,,,,
21/02/2013,70.4,30.2,23.2,25.66
21/02/2013,,,,
22/02/2013,2,27.5,20.2,22.42
22/02/2013,,,,
23/02/2013,0,29.6,18.8,23.88
23/02/2013,,,,
24/02/2013,0,33.6,19.4,26.76
24/02/2013,,,,
25/02/2013,0,29.2,23.6,24.84
25/02/2013,,,,
26/02/2013,1.4,26.1,18.6,21.3
26/02/2013,,,,
27/02/2013,0,27.1,14.5,20.02
27/02/2013,,,,
28/02/2013,0,28,15,20.88
28/02/2013,,,,
01/03/2013,0,32,17.9,24.54
01/03/2013,,,,
02/03/2013,0,33.3,21.3,27.18
02/03/2013,,,,
03/03/2013,0,27.3,23,24.74
03/03/2013,,,,
04/03/2013,13.3,25.9,19,21.1
04/03/2013,,,,
05/03/2013,10.1,24.2,17.2,19.92
05/03/2013,,,,
06/03/2013,0,27.5,19.6,21.96
06/03/2013,,,,
07/03/2013,0,32.2,16.2,23.52
07/03/2013,,,,
08/03/2013,0,28.3,21.1,24.14
08/03/2013,,,,
09/03/2013,0.7,27.7,21.4,24.04
09/03/2013,,,,
10/03/2013,0,28.4,22.2,25
10/03/2013,,,,
11/03/2013,0,30.2,20.4,23.54
11/03/2013,,,,
12/03/2013,6.2,23.3,20.2,21.32
12/03/2013,,,,
13/03/2013,10.5,24.9,19,20.62
13/03/2013,,,,
14/03/2013,0.3,26,16.3,20.62
14/03/2013,,,,
15/03/2013,2.4,21.3,17.6,18.8
15/03/2013,,,,
16/03/2013,4.8,21.9,17.6,18.58
16/03/2013,,,,
17/03/2013,0.1,24,15,18.54
17/03/2013,,,,
18/03/2013,0,23,14.5,18.9
18/03/2013,,,,
19/03/2013,0,23.4,17.6,20.56
19/03/2013,,,,
20/03/2013,7.5,20.9,18.3,19.44
20/03/2013,,,,
21/03/2013,11.5,27.4,17.3,21.98
21/03/2013,,,,
22/03/2013,0,28.3,19.4,21.86
22/03/2013,,,,
23/03/2013,0,27,16.9,20.74
23/03/2013,,,,
24/03/2013,0,25.4,15.6,20.04
24/03/2013,,,,
25/03/2013,0,29.5,16.4,22.1
25/03/2013,,,,
26/03/2013,0,26.2,18.6,20.56
26/03/2013,,,,
27/03/2013,10.1,25.4,16.5,20.16
27/03/2013,,,,
28/03/2013,0.5,26.5,18.2,20.94
28/03/2013,,,,
29/03/2013,0,27.8,15.5,20.84
29/03/2013,,,,
30/03/2013,0,30.6,17.1,22.92
30/03/2013,,,,
31/03/2013,0,32.4,18.4,24.36
31/03/2013,,,,
01/04/2013,0,27.6,17,22.26
01/04/2013,,,,
02/04/2013,0.7,28.3,20.7,23.66
02/04/2013,,,,
03/04/2013,0.1,31.7,21.6,25.06
03/04/2013,,,,
04/04/2013,53.7,29.4,20,23.16
04/04/2013,,,,
05/04/2013,24.8,25.4,19.3,21.54
05/04/2013,,,,
06/04/2013,0,28,17,22.12
06/04/2013,,,,
07/04/2013,0,25.4,18.3,20.24
07/04/2013,,,,
08/04/2013,0,24,15.8,19.48
08/04/2013,,,,
09/04/2013,0,23.1,17.7,20.08
09/04/2013,,,,
10/04/2013,0,26.5,17,21.02
10/04/2013,,,,
11/04/2013,0.1,29,18.5,23.8
11/04/2013,,,,
12/04/2013,18.5,25,18.7,20.28
12/04/2013,,,,
13/04/2013,2.2,21.9,14.8,16.88
13/04/2013,,,,
14/04/2013,0,20.7,9.8,14.94
14/04/2013,,,,
15/04/2013,0,25.2,11.5,18.86
15/04/2013,,,,
16/04/2013,0,21.6,13.9,17
16/04/2013,,,,
17/04/2013,0,23.1,13.5,16.74
17/04/2013,,,,
18/04/2013,0.1,25.2,11.3,17.34
18/04/2013,,,,
19/04/2013,0,26.6,12.3,18.46
19/04/2013,,,,
20/04/2013,0,26.7,12.2,18.5
20/04/2013,,,,
21/04/2013,0.1,26.5,16,19.64
21/04/2013,,,,
22/04/2013,0.1,27.3,14.6,19.06
22/04/2013,,,,
23/04/2013,0,27.6,13.7,19.66
23/04/2013,,,,
24/04/2013,0,27,15.6,19.7
24/04/2013,,,,
25/04/2013,0,28.4,14.5,20.44
25/04/2013,,,,
26/04/2013,0,28.8,15.6,20.84
26/04/2013,,,,
27/04/2013,0,28.8,16.1,21.02
27/04/2013,,,,
28/04/2013,0,32.1,17.1,24.04
28/04/2013,,,,
29/04/2013,2.4,25.7,19.8,22.28
29/04/2013,,,,
30/04/2013,6.1,27.3,18.1,20.32
30/04/2013,,,,
01/05/2013,0,23.2,16.9,19.46
01/05/2013,,,,
02/05/2013,0,31.7,16.6,22.72
02/05/2013,,,,
03/05/2013,0.1,28.5,19.3,22.34
03/05/2013,,,,
04/05/2013,0.3,23.4,19,19.96
04/05/2013,,,,
05/05/2013,0,22.1,15.1,17.72
05/05/2013,,,,
06/05/2013,0,20.5,12,15.04
06/05/2013,,,,
07/05/2013,0,18.5,12,13.92
07/05/2013,,,,
08/05/2013,0.8,20.9,7.1,12.76
08/05/2013,,,,
09/05/2013,0,24.6,8.7,14.82
09/05/2013,,,,
10/05/2013,0,28.2,8.4,16.58
10/05/2013,,,,
11/05/2013,0.1,28,11.1,18.28
11/05/2013,,,,
12/05/2013,0,21.6,14.2,17.28
12/05/2013,,,,
13/05/2013,0,24.4,14.3,18.88
13/05/2013,,,,
14/05/2013,0.3,26.5,18.2,21.7
14/05/2013,,,,
15/05/2013,0,23.8,15,18
15/05/2013,,,,
16/05/2013,13.3,15.2,7.5,9.78
16/05/2013,,,,
17/05/2013,0,17.8,5.2,10.58
17/05/2013,,,,
18/05/2013,0,16.8,9.5,13.36
18/05/2013,,,,
19/05/2013,1.5,18.4,14,15.8
19/05/2013,,,,
20/05/2013,19.8,21.2,15.2,17.44
20/05/2013,,,,
21/05/2013,1.4,21,14.6,16.24
21/05/2013,,,,
22/05/2013,0,16.6,11.1,14.16
22/05/2013,,,,
23/05/2013,0,21.3,13.6,16.24
23/05/2013,,,,
24/05/2013,0.1,19.8,13.4,15.72
24/05/2013,,,,
25/05/2013,0,21.8,13.4,15.44
25/05/2013,,,,
26/05/2013,0,24,12,16.76
26/05/2013,,,,
27/05/2013,0,25.8,12.8,17.44
27/05/2013,,,,
28/05/2013,0,25.6,13,18.4
28/05/2013,,,,
29/05/2013,0.1,19.7,16.2,17.52
29/05/2013,,,,
30/05/2013,27.5,18.1,9.1,12.56
30/05/2013,,,,
31/05/2013,0,20.3,6.7,12.74
31/05/2013,,,,
01/06/2013,8.4,15.7,10.4,13.1
01/06/2013,,,,
02/06/2013,17.9,16.4,12.1,13.66
02/06/2013,,,,
03/06/2013,0.1,19.5,11.5,13.66
03/06/2013,,,,
04/06/2013,0.1,21.5,8.2,13.86
04/06/2013,,,,
05/06/2013,0.1,25,9.6,16
05/06/2013,,,,
06/06/2013,0,21.8,12.6,15.12
06/06/2013,,,,
07/06/2013,0,20.5,6.9,12.84
07/06/2013,,,,
08/06/2013,0.1,20.3,8.8,13.22
08/06/2013,,,,
09/06/2013,0.2,22,10.2,15.6
09/06/2013,,,,
10/06/2013,0,23.2,15.2,17.42
10/06/2013,,,,
11/06/2013,0.1,17.2,12.3,14.88
11/06/2013,,,,
12/06/2013,0,19.2,14.5,15.82
12/06/2013,,,,
13/06/2013,0,21.4,12.9,15.46
13/06/2013,,,,
14/06/2013,0.1,21.2,11.3,14.98
14/06/2013,,,,
15/06/2013,0.1,19.9,12.2,14.66
15/06/2013,,,,
16/06/2013,0,20.1,12.4,16.38
16/06/2013,,,,
17/06/2013,2.8,17.8,14.3,15.38
17/06/2013,,,,
18/06/2013,0,21,13.1,16.6
18/06/2013,,,,
19/06/2013,1.7,17.6,12.3,13.96
19/06/2013,,,,
20/06/2013,3.6,15.6,11.6,13.28
20/06/2013,,,,
21/06/2013,34.8,16.8,13.2,14.92
21/06/2013,,,,
22/06/2013,6.9,17.4,11.4,13.28
22/06/2013,,,,
23/06/2013,0,18.8,7.4,11.78
23/06/2013,,,,
24/06/2013,0,19.6,10.7,14.96
24/06/2013,,,,
25/06/2013,3.9,17.9,15.4,16.06
25/06/2013,,,,
26/06/2013,0.3,16.2,13,14.24
26/06/2013,,,,
27/06/2013,0.1,18.9,8,12.42
27/06/2013,,,,
28/06/2013,0.1,23.5,8.9,15.62
28/06/2013,,,,
29/06/2013,19.2,19.8,14.3,15.78
29/06/2013,,,,
30/06/2013,0.1,18,10,11.78
30/06/2013,,,,
01/07/2013,0,17.6,5.3,10.24
01/07/2013,,,,
02/07/2013,0,19.9,5.6,11.68
02/07/2013,,,,
03/07/2013,0,23.6,8.1,14.62
03/07/2013,,,,
04/07/2013,0,23.4,11.5,17.94
04/07/2013,,,,
05/07/2013,0,28.5,16.2,21.64
05/07/2013,,,,
06/07/2013,0,24.8,17.8,20.76
06/07/2013,,,,
07/07/2013,42.1,21.4,11.8,14.2
07/07/2013,,,,
08/07/2013,10.9,15,9,11.74
08/07/2013,,,,
09/07/2013,0.3,23,11.3,16.06
09/07/2013,,,,
10/07/2013,0,26.7,14.8,19.36
10/07/2013,,,,
11/07/2013,0,26.4,14.4,18.76
11/07/2013,,,,
12/07/2013,0,25.4,14.9,19.3
12/07/2013,,,,
13/07/2013,8.7,21.1,15.9,17.92
13/07/2013,,,,
14/07/2013,0,20.6,14.1,16.24
